company_name,website,sector,contact_name,email,phone,linkedin,location,employee_count,source,ai_score,ai_reason,tag,google_rating
SeRene Therapy,http://www.serenetherapy.studio/,Massage Therapy,,,07879 845894,,"Lyons Dr, Guildford GU2 9YP, UK",,Google Places,9,Ideal for client-facing massage therapy in a quiet professional space,wellness,5/5 (12 reviews),ChIJXezcuTLbdUgR1S_PS4u501c,Guildford
Fragrant Ivy Health Care,http://fragrantivy.co.uk/,Massage Therapy,,,01483 566966,,"76 High St, Guildford GU1 3HE, UK",,Google Places,9,Ideal for client-facing massage therapy in a professional space,wellness,4.7/5 (19 reviews),ChIJSR-erZDQdUgRHTByQWW2ljY,Guildford
Michelle Estruch Acupuncture,http://www.acupunctureme.co.uk/,Acupuncture,,acupunctureme@btinternet.com,07775 122754,https://www.linkedin.com/in/michelle-estruch-lunn-3513b846,"Old Merrow St, Guildford GU4 7BB, UK",,Google Places,9,Acupuncture is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (18 reviews),ChIJLyDf5yTadUgRG0sFzQZNP18,Guildford
The Chinese Medicine Sanctuary,http://www.tcmsanctuary.com/,Holistic health practitioners,,,07515 727195,,"Stoke Park, Guildford GU1 1TU, UK",,Google Places,9,Suitable for client-facing health practices with a focus on wellness and holistic health.,wellness,5/5 (16 reviews),ChIJL-W_YuDQdUgRYo4FMfwV1UA,Guildford
Fabienne BB - Acupuncture,http://acupuncturefbb.co.uk/,Acupuncture,,,07935 490498,,"Chinthurst Ln, Bramley, Shalford",,Google Places,9,"Acupuncture requires a quiet, professional space for client consultations and treatments.",wellness,5/5 (6 reviews),ChIJw7_HDZbRdUgRmPdHKEApoL8,Guildford
Tamarind Natural Remedies Store & Therapy Rooms,https://www.nealsyardremedies.com/a/stores/locations/guildford-store,Health & Wellness,,suzeturner@gmail.com,01483 450434,,"2 Market St, Guildford GU1 4LB, UK",,Google Places,5,Wellness focus but may not fully utilize clinical space,wellness,4/5 (19 reviews),ChIJ9xhBV5fQdUgRpXuKA27NvIU,Guildford
Esther Holford Acupuncture,https://www.estherholford.com/,Acupuncture,,,020 3488 8083,,"Paris Parklands, Guildford GU2 9JX, UK",,Google Places,9,"Acupuncture requires a quiet, professional space for client consultations and treatments.",wellness,5/5 (4 reviews),ChIJxdo0CsDRdUgRXh7pPcV9wQ4,Guildford
Diaz Valvida,,Health & Wellness,,,01483 300400,,"36 Castle St, Guildford GU1 3UQ, UK",,Google Places,6,"Potential for client-facing health/wellness services, but may not be a dedicated clinical practice.",wellness,,ChIJlQW5vZDQdUgRuSzFLlG_m2Q,Guildford
Karen Hawthorne Holistic Therapy,,Massage Therapy,,,07737 387861,,"Fairlands, Guildford GU3 3NF, UK",,Google Places,9,Ideal for client-facing health/wellness practices like massage therapy,wellness,5/5 (2 reviews),ChIJs2Y8szrXdUgRncTc_6Z7b6Y,Guildford
Intuitive Healing Space,http://www.intuitive-healing-space.com/,Holistic health practitioners,,info@intuitive-healing-space.com,07481 943270,,"24 Coniston Rd, Woking GU22 9HU, UK",,Google Places,9,Ideal for therapeutic practices and client-facing health services,wellness,5/5 (102 reviews),ChIJwWTPYlLZdUgRZTRupz4yowY,Guildford
Amanda Davis Holistic Therapist,http://www.amandastherapies.uk/,Massage Therapy,,,07990 970089,,"Scarlett Cl, Woking GU21 8YR, UK",,Google Places,9,"Massage therapy requires a quiet, professional space for client interactions.",wellness,5/5 (11 reviews),ChIJ8ZC9CybXdUgRAAs39lfRjKg,Guildford
Holistic Escape Hypnotherapy,https://holisticescapehypnotherapy.co.uk/,Hypnotherapy,,,07713 121068,,"Beatty Ave, Guildford GU1 2PD, UK",,Google Places,9,Hypnotherapy is a client-facing health practice that fits well in a professional space.,wellness,5/5 (8 reviews),ChIJtSAvFY7bdUgRdXlWh-AWEac,Guildford
Ignite Therapy,https://www.ignitetherapy.co.uk/,Health & Wellness,,victoria@ignitetherapy.co.uk,,https://www.linkedin.com/company/103154417/admin/dashboard/,"54 Quarry St, Guildford GU1 3UA, UK",,Google Places,9,"Ignite Therapy focuses on health and wellness, making it suitable for client-facing practices in a professional space.",wellness,5/5 (4 reviews),ChIJ7Qb0_WHRdUgRqNn9bz-w1Cs,Guildford
"Life, Health and Wellbeing Coaching - Online",https://www.dreamerthinkerman.com/,Health & Wellness Coaching,,,07903 104461,,"76 High St, Guildford GU1 3HE, UK",,Google Places,5,"Currently online-based, may benefit from a physical space but not essential.",wellness,5/5 (6 reviews),ChIJHQMy6GDRdUgR5zBTAMCI8yA,Guildford
Holistic Health Centre,http://www.holistichealthltd.com/,Holistic health practitioners,,,01483 724300,,"3a Oriental Rd, Woking GU22 7AH, UK",,Google Places,9,Ideal for client-facing health and wellness practices,wellness,5/5 (1 reviews),ChIJRRXa_SPYdUgRvTAmZcI8uYw,Guildford
Guildford HarSPA & Club,http://www.harbourhotels.co.uk/guildford/spa-and-gym,Fitness and Spa,,,01483 792304,,"3 Alexandra Terrace, Guildford GU1 3DA, UK",,Google Places,1,Large gym and spa facility not suitable for small professional space,wellness,3.6/5 (20 reviews),ChIJrdCjSZzRdUgRMN1vk6YfXoI,Guildford
Burpham Wellbeing - keeping Burpham and Merrow well,http://www.burphamwellbeing.com/,Health & Wellness,,burphamwellbeing@gmail.com,07788 417109,,"10 Winterhill Way, Guildford GU4 7JX, UK",,Google Places,8,Suitable for client-facing health and wellness practices,wellness,5/5 (1 reviews),ChIJf7O71h_adUgR0uF6WYjEa3o,Guildford
Spirit Health Club,https://www.lghhm.com/leisure/holiday-inn-guildford/,Fitness,,reservations@higuildford.co.uk,01483 453134,,"Egerton Rd, Guildford GU2 7XZ, UK",,Google Places,1,Large gym chain not suitable for small clinical space,wellness,4.1/5 (34 reviews),ChIJ76bTcRzRdUgRZkO3efSQXLQ,Guildford
Good Vibes Hypnotherapy Marcin Smelczysz,https://goodvibeshypnotherapy.co.uk/,Hypnotherapy,,,07891 080103,,"Railton Rd, Guildford GU2 9JX, UK",,Google Places,8,Hypnotherapy is a client-facing health practice suitable for a professional space.,wellness,5/5 (36 reviews),ChIJe43KuBHRdUgRumdQM2vmeaA,Guildford
Philip Western - Hypnotherapist,https://philipwestern.com/hypnotherapy-guildford/,Hypnotherapy,,,,,"127 Stoughton Rd, Guildford GU1 1LH, UK",,Google Places,9,Hypnotherapy is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (15 reviews),ChIJS4hubpvRdUgRbQC8nlbLLBU,Guildford
Hypnotherapy in Guildford,http://hypnotherapyinguildford.com/,Hypnotherapy,,,01483 361136,,"Suite 9380, Surrey Business Centre, 19 Moorfield Rd",,Google Places,9,Hypnotherapy is a client-facing wellness practice suitable for a quiet professional space.,wellness,,ChIJGT6lV6vQdUgR3gNmmjVFHXs,Guildford
CPHT Surrey Hypnotherapy Training,http://www.cpht.co.uk/schools/surrey,Hypnotherapy Training,Holly Stone,hollystone@cpht.co.uk,07557 157084,,"Surrey, University",,Google Places,5,Training business may require larger space for classes but could fit smaller sessions.,wellness,5/5 (10 reviews),ChIJv3bpronRdUgRxUczwntOdA8,Guildford
Natalie Swanson Hypnotherapy,http://www.swansonhypnotherapy.co.uk/,Hypnotherapy,,info@swansonhypnotherapy.co.uk,07909 883531,https://www.linkedin.com/in/natalieswansonhypnotherapy/,"36-37 Castle St, Guildford GU1 3UQ, UK",,Google Places,8,Hypnotherapy is a client-facing health practice that fits well in a professional space.,wellness,4.9/5 (11 reviews),ChIJ2XZ7mUzRdUgRjYnTsg9U2wA,Guildford
Rapid Empowerment,https://www.rapidempowerment.co.uk/,Health & Wellness,,,,,"11 Market St, Guildford GU1 4LB, UK",,Google Places,6,"Business is health and wellness-focused, but may not require clinical space.",wellness,4.8/5 (19 reviews),ChIJMQZCK6PRdUgRXH3JxSs-fNo,Guildford
Create Limitless You Hypnotherapy,http://www.createlimitlessyou.com/,Hypnotherapy,,,07979 092163,,"8 Rowan Cl, Guildford GU1 1PL, UK",,Google Places,8,"Hypnotherapy requires a quiet, professional space for client sessions.",wellness,5/5 (5 reviews),ChIJp_KXDeLRdUgRj85HnGNChxw,Guildford
Richard Morley Associates,http://www.hypnonlp.co.uk/,Health & Wellness,,,07973 227492,,"City Centre, Guildford GU1 3UQ, UK",,Google Places,7,Wellness-focused business that may benefit from a professional space but could potentially outgrow it.,wellness,5/5 (3 reviews),ChIJd9hVvJDQdUgR9OiHaTpM4mw,Guildford
Steve Maher Coaching,http://www.stevemahercoaching.com/,Wellness Coaching,,,07966 150981,,"Onslow Village, Guildford GU2 7QY, UK",,Google Places,6,"Wellness coaching is suitable, but may not require a dedicated clinical space.",wellness,5/5 (82 reviews),ChIJd0KGtfbRdUgR1ZgpH2c3r9I,Guildford
Circle Wellbeing,https://circlewellbeing.gettimely.com/,Wellness,,,07971 537409,,"Albury, Guildford GU5 9AJ, UK",,Google Places,6,Wellness-focused but may not fully utilize clinical space,wellness,5/5 (11 reviews),ChIJDTJZ5-vbdUgRZaX00v-bjV0,Guildford
The Surrey Hypnotherapy Clinic,http://www.surrey-hypnotherapy.com/,Hypnotherapy,,,0870 760 6765,,"Blackbridge Road, Woking GU22 0DN, UK",,Google Places,9,Hypnotherapy is a client-facing health practice that fits well in a professional and quiet space.,wellness,5/5 (1 reviews),ChIJM3ZkRIPXdUgRiyOwxvQ87Y8,Guildford
Joanna Abel Nutrition,https://www.joannaabelnutrition.com/,Nutritionists,,,07912 877788,,"Elmside, Guildford GU2 7SH, UK",,Google Places,6,"Currently home-based, looking to upgrade to a professional space.",wellness,5/5 (7 reviews),ChIJk9uOxNjRdUgRh1roOdmT10w,Guildford
Healthy Me Weight Loss,http://www.healthyme-weightloss.co.uk/,Nutritionists or wellness coaches,,,01483 668865,,"Stirling Rd, Guildford GU2 7RF, UK",,Google Places,5,Currently home-based looking to upgrade,wellness,5/5 (2 reviews),ChIJ1ag38h7RdUgRfS1ruXZecPM,Guildford
The Drip Co.,http://www.thedripco.uk/,Wellness Spa,,,07599 041209,,"6 Market St, Guildford GU1 4LB, UK",,Google Places,5,Wellness-focused but may not fit the clinical space requirement.,wellness,5/5 (25 reviews),ChIJW9B33QPRdUgR1UECC7ToLBg,Guildford
Train for Health Ltd,http://www.katiegirdlerpersonaltraining.co.uk/,Health & Wellness Coaching,,,07837 091990,,"16, Guildford GU1 1TD, UK",,Google Places,5,Currently home-based looking to upgrade,wellness,5/5 (22 reviews),ChIJ0wXlhuPRdUgR4HBW5fu-h2o,Guildford
Melanie Simcock Nutritional Therapist/Nutritionist,,Nutritionist,,,07800 832577,,"3 Ennismore Ave, Guildford GU1 1SP, UK",,Google Places,6,Suitable for client-facing consultations but may not fully utilize the space.,wellness,,ChIJ60yy9AradUgR5e5is7v_n-U,Guildford
Balance to Thrive,https://balancetothrive.co.uk/,Health & Wellness,,,07707 396833,https://www.linkedin.com/in/dakshapatel/,"Addison Rd, Guildford GU1 3QG, UK",,Google Places,7,"Wellness-focused business that may benefit from a professional space, but could potentially outgrow it.",wellness,,ChIJLY_HoXnRdUgR139yzW1RQ6I,Guildford
In Tune Nutrition,https://www.intunenutrition.co.uk/contact/,Nutrition,,gemma@intunenutrition.co.uk,07899 891256,,"54 Quarry St, Guildford GU1 3UA, UK",,Google Places,6,Currently home-based looking to upgrade,wellness,,ChIJAQALwJDQdUgRp8iDJACLfkg,Guildford
Food For Thought,http://www.foodforthoughtuk.com/,Nutritionists or wellness coaches,,,01483 533841,,"2-6 Haydon Pl, Guildford GU1 4LL, UK",,Google Places,6,Wellness-focused but may not require clinical space,wellness,4.6/5 (39 reviews),ChIJ075ZYZfQdUgRnDvyX6jqnjU,Guildford
Nurturing Nutrition,https://www.nurturingnutrition.co.uk/,Nutrition,,,01483 697121,,"Tannersfield, Shalford, Guildford GU4 8JW",,Google Places,6,"Wellness coaching fits well in a small professional space, but may not require clinical facilities.",wellness,,ChIJwVgF6XbQdUgR89FMLG9_OJ0,Guildford
Mummas Wellbeing,,Physiotherapy,,,0333 305 8939,,"Railton Rd, Guildford GU2 9LX, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (6 reviews),ChIJ11eYLsvQdUgRrJw-_lBGThU,Guildford
M.A.S.K. Personal Training,http://www.mask-pt.com/,Personal Training,,awesomehealth@mask-pt.com,01483 361119,https://www.linkedin.com/in/maskpt/,"Ward St, Guildford GU1 4LH, UK",,Google Places,3,Focus on personal training suggests a retail or fitness model rather than clinical or therapeutic.,wellness,5/5 (102 reviews),ChIJf7R52ZnQdUgRIfo1fwmRMT8,Guildford
Melanie Flood Nutrition,https://www.melaniefloodnutrition.com/,Nutritionist,,hello@melaniefloodnutrition.com,07714 471423,https://www.linkedin.com/in/melanie-flood-0b386134/,"87 Wodeland Ave, Guildford GU2 4LA, UK",,Google Places,6,Currently home-based looking to upgrade to a professional space,wellness,,ChIJyZvauhfRdUgRKj-Z39CQTus,Guildford
Dietitians at Healthcare On Demand,,Nutritionists,,,01483 338850,,"Eastgate Gardens, Guildford GU1 4AZ, UK",,Google Places,6,Dietitians may benefit from a professional space but could also work from home or larger settings.,wellness,,ChIJDz-9F5nQdUgR9M_pFy6d6g4,Guildford
Pippa Mitchell,,Health & Wellness,,,01483 415916,,"57 North St, Guildford GU1 4AH, UK",,Google Places,5,Potentially suitable for wellness services but lacks specific details on client-facing practices.,wellness,,ChIJY_TwOJfQdUgR-t-b2C2Z_LI,Guildford
Summit Health,http://www.summit-health.co.uk/,Health & Wellness,,,0843 122 4097,https://www.linkedin.com/in/dorian-soanes-6155b0262/,"116 London Rd, Guildford GU1 1TN, UK",,Google Places,6,Potential for client-facing health/wellness practices but may be larger than suitable for Unit 8.,wellness,,ChIJjwomU3nbdUgRqY-8dMjTD3o,Guildford
Dietitian Fit - Dietitian & Nutritionist,https://dietitianfit.co.uk/,Nutritionist,,info@dietitianfit.co.uk,020 8168 6887,https://www.linkedin.com/company/nutrition-synergy-ltd,"Westfield Ave, Woking GU22 9PF, UK",,Google Places,6,Suitable for client-facing consultations but may not fully utilize the space.,wellness,5/5 (1 reviews),ChIJpd80n5zZdUgRs_cIJAg-V5o,Guildford
Farnham Physiotherapy & Sports Clinic,http://farnham-physiotherapy.co.uk/,Physiotherapy,,,01252 726479,,"20 Firgrove Hill, Farnham GU9 8LQ, UK",,Google Places,9,Ideal for clinical space and client-facing services,clinic-target,4.9/5 (119 reviews),ChIJ8w3KAKgtdEgRn55_chBNcwA,Farnham
HT Physio,https://ht-physio.co.uk/,Physiotherapy,,reception@ht-physio.co.uk,01252 717529,,"Downing St, Farnham GU9 7PG, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (907 reviews),ChIJo1m7y3stdEgRcYlYefHgf-w,Farnham
Physio In Motion,http://www.physioinmotion.co.uk/,Physiotherapy,,physioinmotion@outlook.com,07889 890718,,"1 Union Rd, Farnham GU9 7PT, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (22 reviews),ChIJL7KiDEvRdUgRMfuHrku5Fkk,Farnham
Response Physio Farnham,https://www.responsephysio.com/locations/farnham,Physiotherapy,,,0330 024 1377,,"Dogflud Way, Farnham GU9 7UD, UK",,Google Places,9,"Physiotherapy requires a clinical space, which Unit 8 provides.",clinic-target,5/5 (135 reviews),ChIJldbYaOYsdEgROWtmxoX_GAw,Farnham
Back to Action Physiotherapy and Sports Injuries,https://backtoaction.co.uk/,Physiotherapy,,,07376 067379,,"1-3 East St, Farnham GU9 7SX, UK",,Google Places,9,"Physiotherapy requires clinical space for client treatment, making it highly suitable.",clinic-target,5/5 (57 reviews),ChIJJVBIERktdEgR8YWLWCFn33s,Farnham
Midas Physiotherapy,http://www.midasphysiotherapy.co.uk/,Physiotherapy,,,07738 074289,,"14 Dogflud Way, Farnham GU9 7UP, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (19 reviews),ChIJIysRm_stdEgRSTt2ABNFP54,Farnham
FIX Physio - Farnham,https://fixphysio.co.uk/farnham-physiotherapy/,Physiotherapy,,,0333 011 3433,,"Brightwells Rd, Farnham GU9 7SF, UK",,Google Places,9,Physiotherapy requires clinical space and a quiet environment for client consultations.,clinic-target,5/5 (16 reviews),ChIJE9zE5tgtdEgR4W1_3_7GSUE,Farnham
PR Physio,https://pr-physio.com/,Physiotherapy,,info@pr-physio.com,07308 459605,,"Victoria Rd, Farnham GU9 7RD, UK",,Google Places,9,"Physiotherapy requires a clinical space, which Unit 8 provides.",clinic-target,5/5 (17 reviews),ChIJ_Q_zCnEoXyMRCezkmxlPCkE,Farnham
Lake Therapy,https://laketherapy.co.uk/,Physiotherapy,,,01252 449458,,"The Sands, Farnham GU10 1PX, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,4.9/5 (274 reviews),ChIJZ-1kQ6XTdUgRcVy93tNP31g,Farnham
Waverley Clinic,https://waverleyclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-farnham,Health Clinic,,,01252 716611,,"21A East St, Farnham GU9 7SD, UK",,Google Places,9,Health clinic suitable for client-facing health services,clinic-target,5/5 (132 reviews),ChIJsxNbFQAtdEgR47O-IKwntiw,Farnham
Bearwood Physiotherapy - Farnham - GU9,http://bearwoodphysiotherapy.co.uk/,Physiotherapy,,,07986 726346,,"1 Lion and Lamb Way, Farnham GU9 7PY, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (1 reviews),ChIJTSoGj5SDdkgRO6Ain-qgde4,Farnham
Mobilise Sports Injury Clinic,http://www.mobilisesportsinjuryclinic.com/,Physiotherapy,,,07938 877106,,"12 Frensham Rd, Farnham GU9 8HB, UK",,Google Places,9,Physiotherapy requires a clinical space for client treatment.,clinic-target,5/5 (77 reviews),ChIJeyOJTYwtdEgRvIngGK_yM48,Farnham
Coombe House Osteopathy,http://www.coombehouseclinic.co.uk/,Osteopathy,,,07951 133697,,"8-9 East St, Farnham GU9 7RX, UK",,Google Places,9,"Osteopathy requires a clinical space for patient treatment, making it highly suitable.",clinic-target,5/5 (52 reviews),ChIJ-7i5qkAtdEgRo2zk27IX0eM,Farnham
Foundations Physio,http://foundationsphysio.co.uk/,Physiotherapy,,,01252 411058,,"Lower Bourne, Farnham GU10 3RB, UK",,Google Places,9,Physiotherapy requires a clinical space which Unit 8 provides.,clinic-target,5/5 (32 reviews),ChIJDQIzeEEvdEgRAtJXUw4WR38,Farnham
Meadowside Osteopathy Farnham,https://meadowsideosteopathy.co.uk/,Osteopathy,Orit Huntley,info@meadowsideosteopathy.co.uk,01252 449435,https://www.linkedin.com/company/meadowside-osteopathy-pilates/,"Hurlands Business Centre, Farnham GU9 9JE, UK",,Google Places,9,Requires clinical space for massage therapy,wellness,5/5 (219 reviews),ChIJy1-tKaotdEgRHpH2FMVZRrg,Farnham
Farnham Chiropractic Wellness Centre Ltd,http://www.farnhamchiropractic.co.uk/,Chiropractic,,,01252 235310,,"1A Victoria Rd, Farnham GU9 7RB, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,4.9/5 (136 reviews),ChIJAwvqGaotdEgRQgPPQWU9Sig,Farnham
"Backtogether Physiotherapy- Farnham, Elstead, Headley",http://www.backtogether.co.uk/,Physiotherapy,,,01428 609975,,"Lower Bourne, Farnham GU10 3RB, UK",,Google Places,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (11 reviews),ChIJA_b99RQtdEgRk9aaCuqWuX0,Farnham
Farnham Osteopathic Practice,http://www.farnhamosteopaths.com/,Osteopathy,,chrispinches@hotmail.co.uk,01252 722912,,"2 Bishops Rd, Farnham GU9 0JA, UK",,Google Places,9,Requires clinical space for osteopathic treatments,clinic-target,5/5 (14 reviews),ChIJt5cu81ssdEgRRX0-_iSXNwU,Farnham
Charlotte Hunt Osteopaths,https://www.charlottehuntosteopaths.co.uk/,Osteopathy,,charlotte@charlottehuntosteopaths.co.uk,07957 563472,,"Lower Bourne, Farnham GU10 3LH, UK",,Google Places,9,Requires clinical space for osteopathy practice,clinic-target,5/5 (25 reviews),ChIJzf1kV-stdEgRnOF0oir0n3I,Farnham
Outline Health Osteopathy,http://www.outlinehealth.com/,Osteopathy,,enquiries@outlinehealth.com,01252 850814,https://www.linkedin.com/in/linda-routledge-65168169,"Dare's farm, Farnham Road, Farnham GU10 5BB",,Google Places,8,"Massage therapy requires a quiet, professional space for client sessions.",wellness,4.9/5 (70 reviews),ChIJYaSnrtTSdUgR5cdrnSJQsTw,Farnham
Oak Park Clinic - Osteopathy & Wellbeing Clinic,https://www.oakparkclinic.co.uk/,Yoga Studio,,info@oakparkclinic.co.uk,01252 850800,,"Crondall, Farnham GU10 5QQ, UK",,Google Places,7,Yoga studio fits well but may need more space for group classes.,wellness,5/5 (104 reviews),ChIJmRzeKY0sdEgRPh2-FxcKgLY,Farnham
Elstead Chiropractic Clinic- Mike Stockbridge- Farnham,http://www.elsteadchiropractic.co.uk/,Chiropractic,,,01252 703633,,"1 Waverley Ln, Farnham GU9 8BB, UK",,Google Places,9,Chiropractic practice requires clinical space for client consultations and treatments.,clinic-target,4.9/5 (25 reviews),ChIJs8HzA4fSdUgR1tnSj3pwiBw,Farnham
Healthcare Hub,https://www.healthcarehub-surrey.com/,Yoga Studio,,,01252 364956,,"Tongham, Farnham GU10 1DW, UK",,Google Places,8,Yoga studios are suitable for client-facing wellness practices and can effectively utilize the quiet space.,wellness,5/5 (21 reviews),ChIJsXewwyLTdUgRmj04CimiKdU,Farnham
Andrew Ferguson,,Health & Wellness,,,01252 790738,,"Rowledge, Farnham GU10 4DB, UK",,Google Places,6,"Potentially suitable for wellness services, but needs more details on specific offerings.",wellness,5/5 (1 reviews),ChIJg9XE8vEtdEgRVDzNUhYVxZs,Farnham
Bourne Chiropractic & Rehabilitation (Farnham),http://www.bournechiropracticclinic.com/,Chiropractic,,info@bournechiropracticclinic.com,01252 794037,,"Lower Bourne, Farnham GU10 3HN, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,5/5 (44 reviews),ChIJP9Sx1totdEgRlIYIC5uyATM,Farnham
E,,Health & Wellness,,,,,"Lower Bourne, Farnham GU10 3PP, UK",,Google Places,5,Business currently home-based looking to upgrade,wellness,,ChIJwWuBkfotdEgR00NVLLYZ1YY,Farnham
Align Osteopathic Clinic,https://alignosteoclinic.com/,Massage Therapy,,info@alignosteoclinic.com,01252 621527,https://www.linkedin.com/in/james-dewey-bbb09828/,"Harvest Cres, Fleet GU51 2UZ, UK",,Google Places,9,"Massage therapy fits well in a small, professional space and requires a quiet environment.",wellness,5/5 (40 reviews),ChIJdW7QI0YpdEgRexbW3eMCAiQ,Farnham
Vital Pilates Farnham,http://vitalpilatesfarnham.com/,Pilates studio,,,07752 557676,,"Lower Bourne, Farnham GU10 3NW, UK",,Google Places,7,Suitable for small group classes in a wellness-focused environment,wellness,5/5 (33 reviews),ChIJb1NXLvgtdEgRjsQlRoRud-A,Farnham
Norton David,http://www.southmeadosteopathy.co.uk/,osteopathy,,info@osteopathyfarnhamcommon.co.uk,01753 646381,,"Blackpond Ln, Farnham Common, Slough SL2 3ER",,Google Places,9,"Norton David operates in health and wellness, likely providing clinical services suitable for client-facing practices.",clinic-target,5/5 (5 reviews),ChIJTe_yU_5kdkgRuXEWbk215qs,Farnham
Beeches Osteopathy,http://www.beechesosteopathy.co.uk/,Osteopathy,,,07768 314732,,"Beeches Dr, Farnham Common, Slough SL2 3JT",,Google Places,9,Requires clinical space for osteopathy practice,clinic-target,5/5 (14 reviews),ChIJie2NeVRkdkgRKjHAIe5cb3c,Farnham
"Badgers Hollow, 107B",,Health & Wellness,,,,,"Lower Bourne, Farnham GU10 3LH, UK",,Google Places,6,"Health & Wellness suggests a focus on client-facing services, but the specific nature of the business is unclear.",wellness,,ChIJ8zbQ0bktdEgRI92ET7s8ORE,Farnham
Farnham Chiropractic Clinic,https://www.farnhamclinic.co.uk/,Chiropractic,,,01252 710549,,"1 South Ave, Farnham GU9 0QY, UK",,Google Places,9,Chiropractic requires a clinical space for client treatments,clinic-target,5/5 (17 reviews),ChIJyxEXzvEsdEgRIYw57rSjQWY,Farnham
Foster Chiropractic,http://www.fosterchiropractic.co.uk/,Chiropractic,,,07796 018796,,"12 Old Compton Ln, Farnham GU9 8BS",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,5/5 (17 reviews),ChIJFTuA3J8tdEgRVGxfGLxllcU,Farnham
Back on Track,,Chiropractic,,,01252 781133,,"1 Waverley Ln, Farnham GU9 8BB, UK",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,5/5 (7 reviews),ChIJmVk7uQYtdEgRulaEa5AS-3k,Farnham
ib family chiropractic - CHURT,https://www.ibfchiropractic.com/,Chiropractic,,,07562 488472,,"Churt, Farnham GU10 2JG, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,5/5 (22 reviews),ChIJEW5VtNkzdEgRDLMhJOwj-N4,Farnham
Farnham McTimoney Chiropractic,,Chiropractic,,,07917 880251,,"Victoria Rd, Farnham GU9 7RD, UK",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,,ChIJI9rCKqotdEgRUz2tISpgAzE,Farnham
Balanced Back To Health,https://balancedback2health.com/,Chiropractic,,info@balancedback2health.com,01428 892698,,"Churt, Farnham GU10 2LH, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,4.8/5 (16 reviews),ChIJ4UYfMGzNdUgR5mw7-ZtpT7o,Farnham
Cleary Dr G,,Chiropractic,,,01252 725669,,"30 East St, Farnham GU9 7SW, UK",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,,ChIJtRNbFQAtdEgRIG0MVfWIW54,Farnham
Durham House Chiropractic Clinic Fleet,http://www.durhamhousechiropractic-fleet.co.uk/,Chiropractic,,fleet@durhamhousechiropractic.co.uk,01252 622050,,"60 Reading Rd S, Fleet GU52 7SD, UK",,Google Places,9,"Chiropractic requires a clinical space for treatments, making it highly suitable for Unit 8.",clinic-target,4.9/5 (160 reviews),ChIJAZ1mvuMrdEgRo3kf4E04ZHE,Farnham
Private GP Clinic - Farnham,https://privategpclinic.co.uk/?utm_source=Organic&utm_medium=GMB_Listing_Farnham&utm_id=Google,Private GP or small health clinic,,,01932 344004,,"72 Castle St, Farnham GU9 7LP, UK",,Google Places,9,Ideal for client-facing health services with a need for a professional space.,clinic-target,4.9/5 (76 reviews),ChIJ_XlA6UItdEgR5lfVODZFkvA,Farnham
The Female Health Clinic,https://www.thefemalehealthclinic.co.uk/find-a-clinic/farnham/,Health & Wellness,,info@thefemalehealthclinic.co.uk,01252 915333,https://www.linkedin.com/company/the-female-health-clinic/,"Victoria Rd, Farnham GU9 7RD, UK",,Google Places,9,"The Female Health Clinic is focused on health and wellness, making it highly suitable for a client-facing practice in a professional space.",wellness,5/5 (7 reviews),ChIJDeYra28tdEgR0BF9ACM9fFQ,Farnham
Helth UK,https://www.helth.co.uk/,Health Clinic,,,0333 335 6403,,"Victoria Rd, Farnham GU9 7RD, UK",,Google Places,9,Health clinic requiring a professional space for client consultations,clinic-target,5/5 (15 reviews),ChIJm53ufwmZMgcR10WCRKSxm48,Farnham
